timestamp,cpu_usage,memory_usage,disk_usage,network_sent,network_received
2024-10-27 00:13:14.499938,0.0,25.3,1.2,0,1046
2024-10-27 00:13:16.493887,0.0,25.3,1.2,0,1046
2024-10-27 00:13:18.493423,13.9,25.3,1.2,0,1046
2024-10-27 00:13:20.493241,1.5,25.3,1.2,0,1046
2024-10-27 00:13:22.494604,25.1,26.0,1.2,834,2897
2024-10-27 00:13:24.493584,0.7,25.5,1.2,1453,3095
2024-10-27 00:13:26.493484,0.2,25.5,1.2,1453,3095
2024-10-27 00:13:28.493247,6.7,25.5,1.2,1453,3095
2024-10-27 00:13:30.493327,1.2,25.5,1.2,1453,3095
2024-10-27 00:13:32.493285,0.7,25.5,1.2,1453,3095
2024-10-27 00:13:34.493243,17.6,25.5,1.2,2245,4915
2024-10-27 00:13:36.508697,25.5,25.5,1.2,2245,4915
2024-10-27 00:13:38.508539,25.3,25.5,1.2,2245,4915
2024-10-27 00:13:40.510736,26.3,25.5,1.2,2245,4915
2024-10-27 00:13:42.508975,25.2,25.5,1.2,2245,4915
2024-10-27 00:13:44.508621,25.4,25.5,1.2,2245,4915
2024-10-27 00:13:46.508502,25.6,25.5,1.2,2245,4915
2024-10-27 00:13:48.508732,25.5,25.5,1.2,2245,4915
2024-10-27 00:13:50.508530,26.4,25.5,1.2,2311,4981
2024-10-27 00:13:52.508618,25.8,25.5,1.2,2311,4981
2024-10-27 00:13:54.508636,25.2,25.5,1.2,2311,4981
2024-10-27 00:13:56.508627,34.2,26.2,1.2,3103,6790
2024-10-27 00:13:58.508714,29.7,25.7,1.2,3656,7054
2024-10-27 00:14:00.508591,25.7,25.7,1.2,3656,7054
2024-10-27 00:14:02.508445,25.9,25.7,1.2,3656,7054
2024-10-27 00:14:04.507482,25.0,25.7,1.2,3656,7054
2024-10-27 00:14:06.508877,25.4,25.7,1.2,3722,7120
2024-10-27 00:14:08.509,25.3,25.7,1.2,3722,7120
2024-10-27 00:14:10.508491,25.8,25.7,1.2,3722,7120
2024-10-27 00:14:12.508589,25.8,25.7,1.2,3722,7120
2024-10-27 00:14:14.508578,25.1,25.8,1.2,3722,7120
2024-10-27 00:14:16.508830,25.1,25.8,1.2,3722,7120
2024-10-27 00:14:18.508558,25.3,25.8,1.2,3722,7120
2024-10-27 00:14:20.508415,25.8,25.8,1.2,3788,7186
2024-10-27 00:14:22.508513,25.4,25.8,1.2,3788,7186
2024-10-27 00:14:24.508716,25.2,25.8,1.2,3788,7186
2024-10-27 00:14:26.508500,25.5,25.8,1.2,3830,7228
2024-10-27 00:14:28.508622,25.2,25.8,1.2,3830,7228
2024-10-27 00:14:30.508519,25.7,25.8,1.2,3830,7228
2024-10-27 00:14:32.508486,29.1,25.8,1.2,3830,7228
2024-10-27 00:14:34.507315,25.3,25.8,1.2,3830,7228
2024-10-27 00:14:36.508706,26.0,25.8,1.2,3896,7294
2024-10-27 00:14:38.518389,25.5,25.8,1.2,3896,7294
2024-10-27 00:14:40.508476,26.2,25.8,1.2,3896,7294
2024-10-27 00:14:42.508466,26.0,25.8,1.2,3938,7336
2024-10-27 00:14:44.508517,26.2,25.8,1.2,3938,7336
2024-10-27 00:14:46.508622,25.3,25.8,1.2,3938,7336
2024-10-27 00:14:48.508640,25.7,25.8,1.2,3938,7336
2024-10-27 00:14:50.512762,25.9,25.8,1.2,3938,7336
2024-10-27 00:14:52.508485,26.5,25.8,1.2,4004,7402
2024-10-27 00:14:54.508594,25.1,25.8,1.2,4004,7402
2024-10-27 00:14:56.508878,33.5,26.4,1.2,4838,9253
2024-10-27 00:14:58.508427,30.8,25.9,1.2,5391,9517
2024-10-27 00:15:00.511030,25.7,25.9,1.2,5391,9517
2024-10-27 00:15:02.508563,25.8,25.9,1.2,5391,9517
2024-10-27 00:15:04.507574,25.2,25.9,1.2,5391,9517
2024-10-27 00:15:06.508639,25.7,25.9,1.2,5457,9583
2024-10-27 00:15:08.508615,25.8,25.9,1.2,5457,9583
2024-10-27 00:15:10.508514,21.2,25.8,1.2,5998,9847
2024-10-27 00:15:12.493354,0.5,25.8,1.2,5998,9847
2024-10-27 00:15:14.493863,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:16.494126,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:18.493779,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:20.493197,0.7,25.8,1.2,5998,9847
2024-10-27 00:15:22.493274,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:24.493228,0.5,25.8,1.2,5998,9847
2024-10-27 00:15:26.493274,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:28.493734,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:30.493251,0.5,25.8,1.2,5998,9847
2024-10-27 00:15:32.493300,1.2,25.8,1.2,5998,9847
2024-10-27 00:15:34.493091,0.2,25.8,1.2,5998,9847
2024-10-27 00:15:36.493587,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:38.493769,0.0,25.8,1.2,5998,9847
2024-10-27 00:15:40.493410,0.7,25.8,1.2,5998,9847
