timestamp,cpu_usage,memory_usage,disk_usage,network_sent,network_received
2024-10-27 01:02:13.226007,4.3,26.3,1.2,0,1614
2024-10-27 01:02:18.226066,0.2,26.6,1.2,1316,3737
2024-10-27 01:02:23.226006,11.6,28.1,1.2,2737,6702
2024-10-27 01:02:28.226004,1.0,26.9,1.2,3225,6966
2024-10-27 01:02:33.234111,0.3,26.9,1.2,3225,6966
